iter	RMSE
0	73864.07647
1	71994.14025
2	70350.96881
3	68469.69756
4	66827.50302
5	65274.72167
6	63860.42501
7	62375.88074
8	60872.13198
9	59532.22154
10	58162.63602
11	56956.47563
12	55671.78354
13	54413.03502
14	53262.41573
15	52119.84337
16	51058.20169
17	50006.84059
18	48929.49663
19	47989.21324
20	47071.80157
21	46144.12783
22	45283.04861
23	44420.31406
24	43659.26508
25	42880.63946
26	42237.13829
27	41500.14423
28	40831.20026
29	40294.16503
30	39675.05333
31	39083.15122
32	38461.42966
33	37952.96241
34	37422.59497
35	36944.42377
36	36476.42734
37	36070.83836
38	35578.29219
39	35087.08416
40	34669.73906
41	34223.66756
42	33852.44706
43	33476.37465
44	33058.0385
45	32714.54744
46	32307.86784
47	31921.94199
48	31579.69496
49	31265.95128
50	30948.43599
51	30638.36643
52	30260.73288
53	29931.36146
54	29712.48422
55	29438.35779
56	29135.9816
57	28878.39866
58	28569.03173
59	28318.57479
60	28036.07463
61	27770.8742
62	27556.8936
63	27331.91874
64	27117.89314
65	26928.94217
66	26743.18854
67	26542.50771
68	26342.56539
69	26181.15811
70	25952.15772
71	25774.6732
72	25579.7217
73	25333.9201
74	25164.10635
75	25022.40311
76	24839.54949
77	24660.96207
78	24500.85289
79	24316.99445
80	24151.45178
81	24000.7078
82	23850.18272
83	23640.76609
84	23532.73904
85	23364.39769
86	23232.96625
87	23062.35746
88	22911.72008
89	22756.22869
90	22645.66313
91	22521.82582
92	22387.822
93	22264.81973
94	22158.26813
95	22011.50149
96	21868.92106
97	21758.72101
98	21661.28832
99	21568.82661
100	21478.10311
101	21419.75813
102	21318.69731
103	21221.87041
104	21203.05926
105	21113.49251
106	21029.82521
107	20969.1937
108	20892.05014
109	20778.00447
110	20692.71278
111	20613.44175
112	20528.76508
113	20443.28707
114	20367.48281
115	20288.55876
116	20191.55085
117	20109.18438
118	20023.31656
119	19927.13662
120	19848.33202
121	19794.9538
122	19713.23068
123	19620.93904
124	19556.4029
125	19471.82188
126	19381.61334
127	19304.90326
128	19235.35362
129	19179.67783
130	19128.99184
131	19069.50698
132	19005.37461
133	18921.92717
134	18867.57363
135	18815.61607
136	18739.11512
137	18650.83611
138	18601.01301
139	18544.15853
140	18487.11617
141	18423.63603
142	18365.96219
143	18296.87555
144	18233.30563
145	18181.93526
146	18106.50172
147	18055.42186
148	18010.42084
149	17952.51932
150	17908.26556
151	17855.76478
152	17799.53074
153	17717.33655
154	17672.7628
155	17634.88715
156	17596.16954
157	17527.75622
158	17474.51991
159	17422.57887
160	17373.19996
161	17332.29133
162	17283.44169
163	17235.97918
164	17171.97353
165	17126.41043
166	17102.38325
167	17076.95113
168	17013.03543
169	17002.46855
170	16961.55423
171	16924.95464
172	16886.50387
173	16827.78109
174	16775.91533
175	16748.66194
176	16680.23607
177	16634.76408
178	16582.59488
179	16555.14745
180	16533.56038
181	16471.43134
182	16421.9224
183	16363.94689
184	16350.92275
185	16294.48563
186	16272.03237
187	16195.29588
188	16157.25471
189	16099.38039
190	16040.24865
191	16001.69501
192	15958.47145
193	15916.34309
194	15878.57349
195	15841.84056
196	15802.85541
197	15758.64444
198	15742.70027
199	15708.80958
200	15665.02046
201	15623.34374
202	15574.17048
203	15537.40605
204	15494.9729
205	15457.98142
206	15420.42228
207	15401.98293
208	15369.25244
209	15324.27728
210	15305.91317
211	15266.6743
212	15242.65221
213	15194.84639
214	15159.78686
215	15132.70193
216	15112.16253
217	15075.9877
218	15025.64972
219	14992.95278
220	14974.26985
221	14932.45867
222	14910.01109
223	14873.41378
224	14831.91418
225	14810.0643
226	14796.61423
227	14782.4196
228	14744.6968
229	14701.04803
230	14663.45818
231	14619.94573
232	14600.36086
233	14580.01568
234	14559.4113
235	14545.70096
236	14535.73444
237	14494.74875
238	14481.23781
239	14471.3761
240	14453.15203
241	14411.13826
242	14385.85581
243	14347.88891
244	14318.92722
245	14309.51632
246	14280.6424
247	14240.80316
248	14198.94601
249	14186.65213
250	14167.86308
251	14156.58666
252	14121.37199
253	14108.42171
254	14062.81891
255	14031.31187
256	14021.42692
257	14010.26955
258	14000.83251
259	13973.41365
260	13928.15759
261	13885.23003
262	13873.78933
263	13842.27825
264	13835.73365
265	13803.5761
266	13770.49138
267	13748.2476
268	13721.06069
269	13705.45369
270	13683.02655
271	13648.90712
272	13611.86209
273	13586.4101
274	13576.56751
275	13568.9187
276	13562.71031
277	13553.1121
278	13543.97466
279	13510.52799
280	13501.67421
281	13474.21025
282	13464.31346
283	13439.05849
284	13432.70251
285	13414.67238
286	13407.19823
287	13382.07921
288	13373.66406
289	13338.66627
290	13307.8336
291	13273.84527
292	13244.29543
293	13208.48626
294	13179.2471
295	13162.41825
296	13114.65675
297	13102.20751
298	13094.42488
299	13061.70443
300	13038.39756
301	13029.41145
302	13003.35748
303	12996.17622
304	12969.7543
305	12946.86134
306	12913.56682
307	12892.88215
308	12871.76407
309	12843.306
310	12815.24351
311	12794.93294
312	12778.25685
313	12763.86445
314	12751.53287
315	12744.36558
316	12718.01181
317	12682.2549
318	12669.52321
319	12658.48751
320	12631.6955
321	12623.99959
322	12600.28422
323	12583.99603
324	12559.27515
325	12530.94478
326	12523.87205
327	12512.98697
328	12483.44008
329	12461.86193
330	12428.27772
331	12420.33732
332	12398.18654
333	12390.56238
334	12362.49389
335	12329.09322
336	12311.34573
337	12284.23312
338	12254.98401
339	12236.5715
340	12228.10165
341	12201.53717
342	12175.83148
343	12169.31275
344	12145.39704
345	12132.63443
346	12109.22819
347	12085.11209
348	12065.02453
349	12056.08369
350	12047.32154
351	12041.75893
352	12012.60251
353	11986.15703
354	11970.11776
355	11945.45276
356	11929.02592
357	11917.21778
358	11893.23189
359	11858.31344
360	11846.83096
361	11834.84101
362	11810.91062
363	11805.91213
364	11763.06933
365	11751.11985
366	11742.67922
367	11722.7975
