iter	Passed	Remaining
0	5	5306
1	9	4903
2	14	4785
3	19	4766
4	23	4748
5	28	4716
6	33	4756
7	38	4743
8	42	4699
9	47	4681
10	51	4655
11	56	4619
12	60	4604
13	65	4595
14	69	4582
15	74	4578
16	79	4574
17	83	4556
18	87	4535
19	92	4519
20	97	4531
21	101	4514
22	105	4500
23	110	4503
24	115	4499
25	119	4486
26	124	4477
27	128	4474
28	133	4468
29	137	4457
30	142	4451
31	146	4440
32	151	4428
33	156	4432
34	160	4421
35	164	4416
36	169	4411
37	173	4404
38	178	4395
39	183	4392
40	188	4397
41	192	4389
42	196	4384
43	201	4385
44	206	4377
45	210	4370
46	215	4360
47	219	4358
48	224	4355
49	228	4349
50	233	4346
51	238	4341
52	242	4335
53	247	4330
54	251	4321
55	256	4316
56	260	4306
57	265	4304
58	269	4298
59	274	4294
60	278	4287
61	282	4281
62	287	4274
63	291	4267
64	296	4265
65	300	4258
66	305	4251
67	310	4248
68	313	4228
69	318	4225
70	323	4227
71	328	4227
72	333	4231
73	337	4228
74	342	4223
75	346	4217
76	351	4210
77	355	4206
78	360	4199
79	364	4193
80	369	4192
81	374	4195
82	379	4194
83	384	4193
84	389	4191
85	394	4188
86	398	4183
87	403	4178
88	407	4171
89	411	4165
90	416	4158
91	420	4153
92	425	4147
93	429	4143
94	434	4137
95	438	4131
96	443	4125
97	447	4121
98	452	4115
99	456	4112
100	461	4105
101	466	4109
102	471	4103
103	475	4099
104	480	4092
105	484	4086
106	488	4079
107	493	4073
108	497	4068
109	502	4063
110	506	4059
111	511	4053
112	515	4048
113	520	4042
114	524	4037
115	529	4031
116	533	4025
117	537	4020
118	542	4014
119	546	4008
120	550	4002
121	555	3999
122	560	3994
123	564	3988
124	569	3984
125	573	3980
126	578	3975
127	582	3970
128	587	3964
129	591	3960
130	596	3955
131	600	3950
132	605	3945
133	609	3940
134	614	3934
135	618	3929
136	622	3924
137	627	3919
138	631	3914
139	636	3910
140	640	3904
141	645	3899
142	649	3894
143	654	3893
144	659	3889
145	664	3884
146	668	3879
147	673	3874
148	677	3869
149	681	3863
150	686	3859
151	690	3853
152	695	3849
153	699	3844
154	704	3839
155	708	3833
156	713	3828
157	717	3823
158	721	3817
159	726	3812
160	730	3807
161	735	3802
162	739	3796
163	744	3792
164	748	3787
165	752	3782
166	757	3776
167	761	3771
168	766	3767
169	770	3762
170	775	3757
171	779	3753
172	784	3748
173	788	3743
174	792	3738
175	797	3733
176	801	3727
177	806	3723
178	810	3719
179	815	3714
180	819	3708
181	824	3704
182	828	3699
183	833	3694
184	837	3689
185	842	3685
186	846	3679
187	850	3675
188	855	3670
189	859	3665
190	864	3660
191	868	3656
192	873	3651
193	877	3646
194	882	3641
195	886	3636
196	890	3631
197	895	3626
198	899	3621
199	904	3617
200	908	3612
201	913	3609
202	918	3604
203	922	3599
204	926	3594
205	931	3589
206	935	3585
207	940	3579
208	944	3575
209	949	3570
210	953	3565
211	958	3561
212	962	3556
213	967	3551
214	971	3547
215	976	3542
216	980	3537
217	984	3532
218	989	3528
219	993	3523
220	998	3519
221	1002	3514
222	1007	3510
223	1011	3505
224	1016	3500
225	1020	3496
226	1025	3491
227	1029	3486
228	1034	3482
229	1039	3480
230	1044	3478
231	1049	3473
232	1053	3468
233	1058	3463
234	1062	3459
235	1067	3454
236	1071	3449
237	1075	3444
238	1080	3440
239	1084	3435
240	1089	3430
241	1093	3426
242	1098	3422
243	1103	3417
244	1107	3413
245	1112	3408
246	1116	3403
247	1121	3399
248	1125	3395
249	1130	3390
250	1134	3385
251	1138	3380
252	1143	3375
253	1147	3371
254	1152	3366
255	1157	3363
256	1162	3360
257	1166	3355
258	1171	3350
259	1175	3346
260	1180	3341
261	1184	3336
262	1189	3332
263	1193	3327
264	1198	3323
265	1202	3319
